cm/ms2,1.00E+00,1.00E+06,4.25E+11,1.18E+08,3.28E-02,3.28E-14,3.28E+04,3.28E-08,1.02E+03,1.00E+06,3.94E-01,3.94E-13,3.94E+05,3.94E-07,1.30E+08,3.60E+04,1.00E-05,1.00E-17,1.00E+01,1.00E-11,4.72E+08,3.65E+01,1.30E+11,3.60E+07,1.00E-02,1.00E-14,1.00E+04,1.00E-08,8.05E+07,2.24E+04,6.21E-06,6.21E-18,6.21E+00,6.21E-12,1.00E+01,1.00E-11,1.00E+07,1.00E-05,1.00E+07,1.00E-05,1.00E+13,1.00E+01,1.00E+04,1.00E-08,1.00E+10,1.00E-02,3.94E+07,1.09E-02,1.09E-14,1.09E+04,1.09E-08
cm/s2,1.00E-06,1.00E+00,4.25E+05,1.18E+02,3.28E-08,3.28E-20,3.28E-02,3.28E-14,1.02E-03,1.00E+00,3.94E-07,3.94E-19,3.94E-01,3.94E-13,1.30E+02,3.60E-02,1.00E-11,1.00E-23,1.00E-05,1.00E-17,4.72E+02,3.65E-05,1.30E+05,3.60E+01,1.00E-08,1.00E-20,1.00E-02,1.00E-14,8.05E+01,2.24E-02,6.21E-12,6.21E-24,6.21E-06,6.21E-18,1.00E-05,1.00E-17,1.00E+01,1.00E-11,1.00E+01,1.00E-11,1.00E+07,1.00E-05,1.00E-02,1.00E-14,1.00E+04,1.00E-08,3.94E+01,1.09E-08,1.09E-20,1.09E-02,1.09E-14
ft/h2,2.35E-12,2.35E-06,1.00E+00,2.78E-04,7.72E-14,7.72E-26,7.72E-08,7.72E-20,2.40E-09,2.35E-06,9.26E-13,9.26E-25,9.26E-07,9.26E-19,3.05E-04,8.47E-08,2.35E-17,2.35E-29,2.35E-11,2.35E-23,1.11E-03,8.57E-11,3.05E-01,8.47E-05,2.35E-14,2.35E-26,2.35E-08,2.35E-20,1.89E-04,5.26E-08,1.46E-17,1.46E-29,1.46E-11,1.46E-23,2.35E-11,2.35E-23,2.35E-05,2.35E-17,2.35E-05,2.35E-17,2.35E+01,2.35E-11,2.35E-08,2.35E-20,2.35E-02,2.35E-14,9.26E-05,2.57E-14,2.57E-26,2.57E-08,2.57E-20
ft/min2,8.47E-09,8.47E-03,3.60E+03,1.00E+00,2.78E-10,2.78E-22,2.78E-04,2.78E-16,8.63E-06,8.47E-03,3.33E-09,3.33E-21,3.33E-03,3.33E-15,1.10E+00,3.05E-04,8.47E-14,8.47E-26,8.47E-08,8.47E-20,4.00E+00,3.09E-07,1.10E+03,3.05E-01,8.47E-11,8.47E-23,8.47E-05,8.47E-17,6.82E-01,1.89E-04,5.26E-14,5.26E-26,5.26E-08,5.26E-20,8.47E-08,8.47E-20,8.47E-02,8.47E-14,8.47E-02,8.47E-14,8.47E+04,8.47E-08,8.47E-05,8.47E-17,8.47E+01,8.47E-11,3.33E-01,9.26E-11,9.26E-23,9.26E-05,9.26E-17
ft/ms2,3.05E+01,3.05E+07,1.30E+13,3.60E+09,1.00E+00,1.00E-12,1.00E+06,1.00E-06,3.11E+04,3.05E+07,1.20E+01,1.20E-11,1.20E+07,1.20E-05,3.95E+09,1.10E+06,3.05E-04,3.05E-16,3.05E+02,3.05E-10,1.44E+10,1.11E+03,3.95E+12,1.10E+09,3.05E-01,3.05E-13,3.05E+05,3.05E-07,2.45E+09,6.82E+05,1.89E-04,1.89E-16,1.89E+02,1.89E-10,3.05E+02,3.05E-10,3.05E+08,3.05E-04,3.05E+08,3.05E-04,3.05E+14,3.05E+02,3.05E+05,3.05E-07,3.05E+11,3.05E-01,1.20E+09,3.33E-01,3.33E-13,3.33E+05,3.33E-07
ft/ns2,3.05E+13,3.05E+19,1.30E+25,3.60E+21,1.00E+12,1.00E+00,1.00E+18,1.00E+06,3.11E+16,3.05E+19,1.20E+13,1.20E+01,1.20E+19,1.20E+07,3.95E+21,1.10E+18,3.05E+08,3.05E-04,3.05E+14,3.05E+02,1.44E+22,1.11E+15,3.95E+24,1.10E+21,3.05E+11,3.05E-01,3.05E+17,3.05E+05,2.45E+21,6.82E+17,1.89E+08,1.89E-04,1.89E+14,1.89E+02,3.05E+14,3.05E+02,3.05E+20,3.05E+08,3.05E+20,3.05E+08,3.05E+26,3.05E+14,3.05E+17,3.05E+05,3.05E+23,3.05E+11,1.20E+21,3.33E+11,3.33E-01,3.33E+17,3.33E+05
ft/s2,3.05E-05,3.05E+01,1.30E+07,3.60E+03,1.00E-06,1.00E-18,1.00E+00,1.00E-12,3.11E-02,3.05E+01,1.20E-05,1.20E-17,1.20E+01,1.20E-11,3.95E+03,1.10E+00,3.05E-10,3.05E-22,3.05E-04,3.05E-16,1.44E+04,1.11E-03,3.95E+06,1.10E+03,3.05E-07,3.05E-19,3.05E-01,3.05E-13,2.45E+03,6.82E-01,1.89E-10,1.89E-22,1.89E-04,1.89E-16,3.05E-04,3.05E-16,3.05E+02,3.05E-10,3.05E+02,3.05E-10,3.05E+08,3.05E-04,3.05E-01,3.05E-13,3.05E+05,3.05E-07,1.20E+03,3.33E-07,3.33E-19,3.33E-01,3.33E-13
ft/us2,3.05E+07,3.05E+13,1.30E+19,3.60E+15,1.00E+06,1.00E-06,1.00E+12,1.00E+00,3.11E+10,3.05E+13,1.20E+07,1.20E-05,1.20E+13,1.20E+01,3.95E+15,1.10E+12,3.05E+02,3.05E-10,3.05E+08,3.05E-04,1.44E+16,1.11E+09,3.95E+18,1.10E+15,3.05E+05,3.05E-07,3.05E+11,3.05E-01,2.45E+15,6.82E+11,1.89E+02,1.89E-10,1.89E+08,1.89E-04,3.05E+08,3.05E-04,3.05E+14,3.05E+02,3.05E+14,3.05E+02,3.05E+20,3.05E+08,3.05E+11,3.05E-01,3.05E+17,3.05E+05,1.20E+15,3.33E+05,3.33E-07,3.33E+11,3.33E-01
g,9.81E-04,9.81E+02,4.17E+08,1.16E+05,3.22E-05,3.22E-17,3.22E+01,3.22E-11,1.00E+00,9.81E+02,3.86E-04,3.86E-16,3.86E+02,3.86E-10,1.27E+05,3.53E+01,9.81E-09,9.81E-21,9.81E-03,9.81E-15,4.63E+05,3.57E-02,1.27E+08,3.53E+04,9.81E-06,9.81E-18,9.81E+00,9.81E-12,7.90E+04,2.19E+01,6.09E-09,6.09E-21,6.09E-03,6.09E-15,9.81E-03,9.81E-15,9.81E+03,9.81E-09,9.81E+03,9.81E-09,9.81E+09,9.81E-03,9.81E+00,9.81E-12,9.81E+06,9.81E-06,3.86E+04,1.07E-05,1.07E-17,1.07E+01,1.07E-11
gal,1.00E-06,1.00E+00,4.25E+05,1.18E+02,3.28E-08,3.28E-20,3.28E-02,3.28E-14,1.02E-03,1.00E+00,3.94E-07,3.94E-19,3.94E-01,3.94E-13,1.30E+02,3.60E-02,1.00E-11,1.00E-23,1.00E-05,1.00E-17,4.72E+02,3.65E-05,1.30E+05,3.60E+01,1.00E-08,1.00E-20,1.00E-02,1.00E-14,8.05E+01,2.24E-02,6.21E-12,6.21E-24,6.21E-06,6.21E-18,1.00E-05,1.00E-17,1.00E+01,1.00E-11,1.00E+01,1.00E-11,1.00E+07,1.00E-05,1.00E-02,1.00E-14,1.00E+04,1.00E-08,3.94E+01,1.09E-08,1.09E-20,1.09E-02,1.09E-14
in/ms2,2.54E+00,2.54E+06,1.08E+12,3.00E+08,8.33E-02,8.33E-14,8.33E+04,8.33E-08,2.59E+03,2.54E+06,1.00E+00,1.00E-12,1.00E+06,1.00E-06,3.29E+08,9.14E+04,2.54E-05,2.54E-17,2.54E+01,2.54E-11,1.20E+09,9.26E+01,3.29E+11,9.14E+07,2.54E-02,2.54E-14,2.54E+04,2.54E-08,2.05E+08,5.68E+04,1.58E-05,1.58E-17,1.58E+01,1.58E-11,2.54E+01,2.54E-11,2.54E+07,2.54E-05,2.54E+07,2.54E-05,2.54E+13,2.54E+01,2.54E+04,2.54E-08,2.54E+10,2.54E-02,1.00E+08,2.78E-02,2.78E-14,2.78E+04,2.78E-08
in/ns2,2.54E+12,2.54E+18,1.08E+24,3.00E+20,8.33E+10,8.33E-02,8.33E+16,8.33E+04,2.59E+15,2.54E+18,1.00E+12,1.00E+00,1.00E+18,1.00E+06,3.29E+20,9.14E+16,2.54E+07,2.54E-05,2.54E+13,2.54E+01,1.20E+21,9.26E+13,3.29E+23,9.14E+19,2.54E+10,2.54E-02,2.54E+16,2.54E+04,2.05E+20,5.68E+16,1.58E+07,1.58E-05,1.58E+13,1.58E+01,2.54E+13,2.54E+01,2.54E+19,2.54E+07,2.54E+19,2.54E+07,2.54E+25,2.54E+13,2.54E+16,2.54E+04,2.54E+22,2.54E+10,1.00E+20,2.78E+10,2.78E-02,2.78E+16,2.78E+04
