attonewton,1.00E+00,1.00E-16,1.02E-17,1.00E-19,1.02E-15,1.00E-17,1.00E-13,1.00E-36,1.00E-03,1.00E-27,1.02E-16,1.00E-20,1.00E-18,2.25E-22,2.25E-19,1.00E-24,1.02E-22,1.00E-12,1.00E-15,1.00E-09,1.00E-18,3.60E-18,1.00E-33,1.00E-06,1.02E-16,7.23E-18,1.02E-19,1.00E-21,1.02E-19,1.00E-21,1.00E-30,1.02E-22,1.00E+06,1.00E-42,1.00E+03,1.00E-39
centinewton,1.00E+16,1.00E+00,1.02E-01,1.00E-03,1.02E+01,1.00E-01,1.00E+03,1.00E-20,1.00E+13,1.00E-11,1.02E+00,1.00E-04,1.00E-02,2.25E-06,2.25E-03,1.00E-08,1.02E-06,1.00E+04,1.00E+01,1.00E+07,1.00E-02,3.60E-02,1.00E-17,1.00E+10,1.02E+00,7.23E-02,1.02E-03,1.00E-05,1.02E-03,1.00E-05,1.00E-14,1.02E-06,1.00E+22,1.00E-26,1.00E+19,1.00E-23
decagrama-força,9.81E+16,9.81E+00,1.00E+00,9.81E-03,1.00E+02,9.81E-01,9.81E+03,9.81E-20,9.81E+13,9.81E-11,1.00E+01,9.81E-04,9.81E-02,2.20E-05,2.20E-02,9.81E-08,1.00E-05,9.81E+04,9.81E+01,9.81E+07,9.81E-02,3.53E-01,9.81E-17,9.81E+10,1.00E+01,7.09E-01,1.00E-02,9.81E-05,1.00E-02,9.81E-05,9.81E-14,1.00E-05,9.81E+22,9.81E-26,9.81E+19,9.81E-23
decanewton,1.00E+19,1.00E+03,1.02E+02,1.00E+00,1.02E+04,1.00E+02,1.00E+06,1.00E-17,1.00E+16,1.00E-08,1.02E+03,1.00E-01,1.00E+01,2.25E-03,2.25E+00,1.00E-05,1.02E-03,1.00E+07,1.00E+04,1.00E+10,1.00E+01,3.60E+01,1.00E-14,1.00E+13,1.02E+03,7.23E+01,1.02E+00,1.00E-02,1.02E+00,1.00E-02,1.00E-11,1.02E-03,1.00E+25,1.00E-23,1.00E+22,1.00E-20
decigrama-força,9.81E+14,9.81E-02,1.00E-02,9.81E-05,1.00E+00,9.81E-03,9.81E+01,9.81E-22,9.81E+11,9.81E-13,1.00E-01,9.81E-06,9.81E-04,2.20E-07,2.20E-04,9.81E-10,1.00E-07,9.81E+02,9.81E-01,9.81E+05,9.81E-04,3.53E-03,9.81E-19,9.81E+08,1.00E-01,7.09E-03,1.00E-04,9.81E-07,1.00E-04,9.81E-07,9.81E-16,1.00E-07,9.81E+20,9.81E-28,9.81E+17,9.81E-25
decinewton,1.00E+17,1.00E+01,1.02E+00,1.00E-02,1.02E+02,1.00E+00,1.00E+04,1.00E-19,1.00E+14,1.00E-10,1.02E+01,1.00E-03,1.00E-01,2.25E-05,2.25E-02,1.00E-07,1.02E-05,1.00E+05,1.00E+02,1.00E+08,1.00E-01,3.60E-01,1.00E-16,1.00E+11,1.02E+01,7.23E-01,1.02E-02,1.00E-04,1.02E-02,1.00E-04,1.00E-13,1.02E-05,1.00E+23,1.00E-25,1.00E+20,1.00E-22
dina,1.00E+13,1.00E-03,1.02E-04,1.00E-06,1.02E-02,1.00E-04,1.00E+00,1.00E-23,1.00E+10,1.00E-14,1.02E-03,1.00E-07,1.00E-05,2.25E-09,2.25E-06,1.00E-11,1.02E-09,1.00E+01,1.00E-02,1.00E+04,1.00E-05,3.60E-05,1.00E-20,1.00E+07,1.02E-03,7.23E-05,1.02E-06,1.00E-08,1.02E-06,1.00E-08,1.00E-17,1.02E-09,1.00E+19,1.00E-29,1.00E+16,1.00E-26
exanewton,1.00E+36,1.00E+20,1.02E+19,1.00E+17,1.02E+21,1.00E+19,1.00E+23,1.00E+00,1.00E+33,1.00E+09,1.02E+20,1.00E+16,1.00E+18,2.25E+14,2.25E+17,1.00E+12,1.02E+14,1.00E+24,1.00E+21,1.00E+27,1.00E+18,3.60E+18,1.00E+03,1.00E+30,1.02E+20,7.23E+18,1.02E+17,1.00E+15,1.02E+17,1.00E+15,1.00E+06,1.02E+14,1.00E+42,1.00E-06,1.00E+39,1.00E-03
femtonewton,1.00E+03,1.00E-13,1.02E-14,1.00E-16,1.02E-12,1.00E-14,1.00E-10,1.00E-33,1.00E+00,1.00E-24,1.02E-13,1.00E-17,1.00E-15,2.25E-19,2.25E-16,1.00E-21,1.02E-19,1.00E-09,1.00E-12,1.00E-06,1.00E-15,3.60E-15,1.00E-30,1.00E-03,1.02E-13,7.23E-15,1.02E-16,1.00E-18,1.02E-16,1.00E-18,1.00E-27,1.02E-19,1.00E+09,1.00E-39,1.00E+06,1.00E-36
giganewton,1.00E+27,1.00E+11,1.02E+10,1.00E+08,1.02E+12,1.00E+10,1.00E+14,1.00E-09,1.00E+24,1.00E+00,1.02E+11,1.00E+07,1.00E+09,2.25E+05,2.25E+08,1.00E+03,1.02E+05,1.00E+15,1.00E+12,1.00E+18,1.00E+09,3.60E+09,1.00E-06,1.00E+21,1.02E+11,7.23E+09,1.02E+08,1.00E+06,1.02E+08,1.00E+06,1.00E-03,1.02E+05,1.00E+33,1.00E-15,1.00E+30,1.00E-12
grama-força,9.81E+15,9.81E-01,1.00E-01,9.81E-04,1.00E+01,9.81E-02,9.81E+02,9.81E-21,9.81E+12,9.81E-12,1.00E+00,9.81E-05,9.81E-03,2.20E-06,2.20E-03,9.81E-09,1.00E-06,9.81E+03,9.81E+00,9.81E+06,9.81E-03,3.53E-02,9.81E-18,9.81E+09,1.00E+00,7.09E-02,1.00E-03,9.81E-06,1.00E-03,9.81E-06,9.81E-15,1.00E-06,9.81E+21,9.81E-27,9.81E+18,9.81E-24
hectonewton,1.00E+20,1.00E+04,1.02E+03,1.00E+01,1.02E+05,1.00E+03,1.00E+07,1.00E-16,1.00E+17,1.00E-07,1.02E+04,1.00E+00,1.00E+02,2.25E-02,2.25E+01,1.00E-04,1.02E-02,1.00E+08,1.00E+05,1.00E+11,1.00E+02,3.60E+02,1.00E-13,1.00E+14,1.02E+04,7.23E+02,1.02E+01,1.00E-01,1.02E+01,1.00E-01,1.00E-10,1.02E-02,1.00E+26,1.00E-22,1.00E+23,1.00E-19
joule/metro,1.00E+18,1.00E+02,1.02E+01,1.00E-01,1.02E+03,1.00E+01,1.00E+05,1.00E-18,1.00E+15,1.00E-09,1.02E+02,1.00E-02,1.00E+00,2.25E-04,2.25E-01,1.00E-06,1.02E-04,1.00E+06,1.00E+03,1.00E+09,1.00E+00,3.60E+00,1.00E-15,1.00E+12,1.02E+02,7.23E+00,1.02E-01,1.00E-03,1.02E-01,1.00E-03,1.00E-12,1.02E-04,1.00E+24,1.00E-24,1.00E+21,1.00E-21
kip,4.45E+21,4.45E+05,4.54E+04,4.45E+02,4.54E+06,4.45E+04,4.45E+08,4.45E-15,4.45E+18,4.45E-06,4.54E+05,4.45E+01,4.45E+03,1.00E+00,1.00E+03,4.45E-03,4.54E-01,4.45E+09,4.45E+06,4.45E+12,4.45E+03,1.60E+04,4.45E-12,4.45E+15,4.54E+05,3.22E+04,4.54E+02,4.45E+00,4.54E+02,4.45E+00,4.45E-09,4.54E-01,4.45E+27,4.45E-21,4.45E+24,4.45E-18
libra-força,4.45E+18,4.45E+02,4.54E+01,4.45E-01,4.54E+03,4.45E+01,4.45E+05,4.45E-18,4.45E+15,4.45E-09,4.54E+02,4.45E-02,4.45E+00,1.00E-03,1.00E+00,4.45E-06,4.54E-04,4.45E+06,4.45E+03,4.45E+09,4.45E+00,1.60E+01,4.45E-15,4.45E+12,4.54E+02,3.22E+01,4.54E-01,4.45E-03,4.54E-01,4.45E-03,4.45E-12,4.54E-04,4.45E+24,4.45E-24,4.45E+21,4.45E-21
meganewton,1.00E+24,1.00E+08,1.02E+07,1.00E+05,1.02E+09,1.00E+07,1.00E+11,1.00E-12,1.00E+21,1.00E-03,1.02E+08,1.00E+04,1.00E+06,2.25E+02,2.25E+05,1.00E+00,1.02E+02,1.00E+12,1.00E+09,1.00E+15,1.00E+06,3.60E+06,1.00E-09,1.00E+18,1.02E+08,7.23E+06,1.02E+05,1.00E+03,1.02E+05,1.00E+03,1.00E-06,1.02E+02,1.00E+30,1.00E-18,1.00E+27,1.00E-15
megapond,9.81E+21,9.81E+05,1.00E+05,9.81E+02,1.00E+07,9.81E+04,9.81E+08,9.81E-15,9.81E+18,9.81E-06,1.00E+06,9.81E+01,9.81E+03,2.20E+00,2.20E+03,9.81E-03,1.00E+00,9.81E+09,9.81E+06,9.81E+12,9.81E+03,3.53E+04,9.81E-12,9.81E+15,1.00E+06,7.09E+04,1.00E+03,9.81E+00,1.00E+03,9.81E+00,9.81E-09,1.00E+00,9.81E+27,9.81E-21,9.81E+24,9.81E-18
micronewton,1.00E+12,1.00E-04,1.02E-05,1.00E-07,1.02E-03,1.00E-05,1.00E-01,1.00E-24,1.00E+09,1.00E-15,1.02E-04,1.00E-08,1.00E-06,2.25E-10,2.25E-07,1.00E-12,1.02E-10,1.00E+00,1.00E-03,1.00E+03,1.00E-06,3.60E-06,1.00E-21,1.00E+06,1.02E-04,7.23E-06,1.02E-07,1.00E-09,1.02E-07,1.00E-09,1.00E-18,1.02E-10,1.00E+18,1.00E-30,1.00E+15,1.00E-27
milinewton,1.00E+15,1.00E-01,1.02E-02,1.00E-04,1.02E+00,1.00E-02,1.00E+02,1.00E-21,1.00E+12,1.00E-12,1.02E-01,1.00E-05,1.00E-03,2.25E-07,2.25E-04,1.00E-09,1.02E-07,1.00E+03,1.00E+00,1.00E+06,1.00E-03,3.60E-03,1.00E-18,1.00E+09,1.02E-01,7.23E-03,1.02E-04,1.00E-06,1.02E-04,1.00E-06,1.00E-15,1.02E-07,1.00E+21,1.00E-27,1.00E+18,1.00E-24
nanonewton,1.00E+09,1.00E-07,1.02E-08,1.00E-10,1.02E-06,1.00E-08,1.00E-04,1.00E-27,1.00E+06,1.00E-18,1.02E-07,1.00E-11,1.00E-09,2.25E-13,2.25E-10,1.00E-15,1.02E-13,1.00E-03,1.00E-06,1.00E+00,1.00E-09,3.60E-09,1.00E-24,1.00E+03,1.02E-07,7.23E-09,1.02E-10,1.00E-12,1.02E-10,1.00E-12,1.00E-21,1.02E-13,1.00E+15,1.00E-33,1.00E+12,1.00E-30
newton,1.00E+18,1.00E+02,1.02E+01,1.00E-01,1.02E+03,1.00E+01,1.00E+05,1.00E-18,1.00E+15,1.00E-09,1.02E+02,1.00E-02,1.00E+00,2.25E-04,2.25E-01,1.00E-06,1.02E-04,1.00E+06,1.00E+03,1.00E+09,1.00E+00,3.60E+00,1.00E-15,1.00E+12,1.02E+02,7.23E+00,1.02E-01,1.00E-03,1.02E-01,1.00E-03,1.00E-12,1.02E-04,1.00E+24,1.00E-24,1.00E+21,1.00E-21
onça-força,2.78E+17,2.78E+01,2.83E+00,2.78E-02,2.83E+02,2.78E+00,2.78E+04,2.78E-19,2.78E+14,2.78E-10,2.83E+01,2.78E-03,2.78E-01,6.25E-05,6.25E-02,2.78E-07,2.83E-05,2.78E+05,2.78E+02,2.78E+08,2.78E-01,1.00E+00,2.78E-16,2.78E+11,2.83E+01,2.01E+00,2.83E-02,2.78E-04,2.83E-02,2.78E-04,2.78E-13,2.83E-05,2.78E+23,2.78E-25,2.78E+20,2.78E-22
petanewton,1.00E+33,1.00E+17,1.02E+16,1.00E+14,1.02E+18,1.00E+16,1.00E+20,1.00E-03,1.00E+30,1.00E+06,1.02E+17,1.00E+13,1.00E+15,2.25E+11,2.25E+14,1.00E+09,1.02E+11,1.00E+21,1.00E+18,1.00E+24,1.00E+15,3.60E+15,1.00E+00,1.00E+27,1.02E+17,7.23E+15,1.02E+14,1.00E+12,1.02E+14,1.00E+12,1.00E+03,1.02E+11,1.00E+39,1.00E-09,1.00E+36,1.00E-06
piconewton,1.00E+06,1.00E-10,1.02E-11,1.00E-13,1.02E-09,1.00E-11,1.00E-07,1.00E-30,1.00E+03,1.00E-21,1.02E-10,1.00E-14,1.00E-12,2.25E-16,2.25E-13,1.00E-18,1.02E-16,1.00E-06,1.00E-09,1.00E-03,1.00E-12,3.60E-12,1.00E-27,1.00E+00,1.02E-10,7.23E-12,1.02E-13,1.00E-15,1.02E-13,1.00E-15,1.00E-24,1.02E-16,1.00E+12,1.00E-36,1.00E+09,1.00E-33
pond,9.81E+15,9.81E-01,1.00E-01,9.81E-04,1.00E+01,9.81E-02,9.81E+02,9.81E-21,9.81E+12,9.81E-12,1.00E+00,9.81E-05,9.81E-03,2.20E-06,2.20E-03,9.81E-09,1.00E-06,9.81E+03,9.81E+00,9.81E+06,9.81E-03,3.53E-02,9.81E-18,9.81E+09,1.00E+00,7.09E-02,1.00E-03,9.81E-06,1.00E-03,9.81E-06,9.81E-15,1.00E-06,9.81E+21,9.81E-27,9.81E+18,9.81E-24
poundal,1.38E+17,1.38E+01,1.41E+00,1.38E-02,1.41E+02,1.38E+00,1.38E+04,1.38E-19,1.38E+14,1.38E-10,1.41E+01,1.38E-03,1.38E-01,3.11E-05,3.11E-02,1.38E-07,1.41E-05,1.38E+05,1.38E+02,1.38E+08,1.38E-01,4.97E-01,1.38E-16,1.38E+11,1.41E+01,1.00E+00,1.41E-02,1.38E-04,1.41E-02,1.38E-04,1.38E-13,1.41E-05,1.38E+23,1.38E-25,1.38E+20,1.38E-22
quilograma-forca,9.81E+18,9.81E+02,1.00E+02,9.81E-01,1.00E+04,9.81E+01,9.81E+05,9.81E-18,9.81E+15,9.81E-09,1.00E+03,9.81E-02,9.81E+00,2.20E-03,2.20E+00,9.81E-06,1.00E-03,9.81E+06,9.81E+03,9.81E+09,9.81E+00,3.53E+01,9.81E-15,9.81E+12,1.00E+03,70.9327630773757,1.00E+00,9.81E-03,1.00E+00,9.81E-03,9.81E-12,1.00E-03,9.81E+24,9.81E-24,9.81E+21,9.81E-21
quilonewton,1.00E+21,1.00E+05,1.02E+04,1.00E+02,1.02E+06,1.00E+04,1.00E+08,1.00E-15,1.00E+18,1.00E-06,1.02E+05,1.00E+01,1.00E+03,2.25E-01,2.25E+02,1.00E-03,1.02E-01,1.00E+09,1.00E+06,1.00E+12,1.00E+03,3.60E+03,1.00E-12,1.00E+15,1.02E+05,7233.013851,101.97,1.00E+00,1.02E+02,1.00E+00,1.00E-09,1.02E-01,1.00E+27,1.00E-21,1.00E+24,1.00E-18
quilopond,9.81E+18,9.81E+02,1.00E+02,9.81E-01,1.00E+04,9.81E+01,9.81E+05,9.81E-18,9.81E+15,9.81E-09,1.00E+03,9.81E-02,9.81E+00,2.20E-03,2.20E+00,9.81E-06,1.00E-03,9.81E+06,9.81E+03,9.81E+09,9.81E+00,3.53E+01,9.81E-15,9.81E+12,1.00E+03,70.931635349934,0.999984101459004,0.009806650009405,1.00E+00,9.81E-03,9.81E-12,1.00E-03,9.81E+24,9.81E-24,9.81E+21,9.81E-21
sthene,1.00E+21,1.00E+05,1.02E+04,1.00E+02,1.02E+06,1.00E+04,1.00E+08,1.00E-15,1.00E+18,1.00E-06,1.02E+05,1.00E+01,1.00E+03,2.25E-01,2.25E+02,1.00E-03,1.02E-01,1.00E+09,1.00E+06,1.00E+12,1.00E+03,3.60E+03,1.00E-12,1.00E+15,1.02E+05,7233.013851,101.97,1,1.02E+02,1.00E+00,1.00E-09,1.02E-01,1.00E+27,1.00E-21,1.00E+24,1.00E-18
