angstrom3,1.00E+00,1.18E-78,1.00E+24,1.00E-25,1.00E-24,2.03E-25,1.69E-25,6.76E-26,5.63E-26,1.00E-33,1.00E-26,1.00E-27,1.00E-84,1.00E+05,2.64E-28,2.20E-28,1.00E-57,1.00E-36,1.31E-30,1.00E-27,1.00E-48,1.00E-30,1.00E-12,1.57E-40,2.40E-40,1.00E-24,1.00E-21,1.00E-03,3.38E-26,3.52E-26,3.40E-80,3.53E-29,1.00E-75,1.00E+06,6.10E-26,2.11E-27,1.76E-27,8.80E-28,1.06E-27,1.00E-39,1.00E-66,2.99E-64,4.23E-27,3.52E-27,1.00E+42,1.00E-102,1.00E+33,1.00E-93
ano-luz3,8.47E+77,1.00E+00,8.47E+101,8.47E+52,8.47E+53,1.72E+53,1.43E+53,5.73E+52,4.77E+52,8.47E+44,8.47E+51,8.47E+50,8.47E-07,8.47E+82,2.24E+50,1.86E+50,8.47E+20,8.47E+41,1.11E+48,8.47E+50,8.47E+29,8.47E+47,8.47E+65,1.33E+38,2.03E+38,8.47E+53,8.47E+56,8.47E+74,2.86E+52,2.98E+52,2.88E-02,2.99E+49,8.47E+02,8.47E+83,5.17E+52,1.79E+51,1.49E+51,7.45E+50,8.95E+50,8.47E+38,8.47E+11,2.53E+14,3.58E+51,2.98E+51,8.47E+119,8.47E-25,8.47E+110,8.47E-16
attômetro3,1.00E-24,1.18E-102,1.00E+00,1.00E-49,1.00E-48,2.03E-49,1.69E-49,6.76E-50,5.63E-50,1.00E-57,1.00E-50,1.00E-51,1.00E-108,1.00E-19,2.64E-52,2.20E-52,1.00E-81,1.00E-60,1.31E-54,1.00E-51,1.00E-72,1.00E-54,1.00E-36,1.57E-64,2.40E-64,1.00E-48,1.00E-45,1.00E-27,3.38E-50,3.52E-50,3.40E-104,3.53E-53,1.00E-99,1.00E-18,6.10E-50,2.11E-51,1.76E-51,8.80E-52,1.06E-51,1.00E-63,1.00E-90,2.99E-88,4.23E-51,3.52E-51,1.00E+18,1.00E-126,1.00E+09,1.00E-117
centilitro,1.00E+25,1.18E-53,1.00E+49,1.00E+00,1.00E+01,2.03E+00,1.69E+00,6.76E-01,5.63E-01,1.00E-08,1.00E-01,1.00E-02,1.00E-59,1.00E+30,2.64E-03,2.20E-03,1.00E-32,1.00E-11,1.31E-05,1.00E-02,1.00E-23,1.00E-05,1.00E+13,1.57E-15,2.40E-15,1.00E+01,1.00E+04,1.00E+22,3.38E-01,3.52E-01,3.40E-55,3.53E-04,1.00E-50,1.00E+31,6.10E-01,2.11E-02,1.76E-02,8.80E-03,1.06E-02,1.00E-14,1.00E-41,2.99E-39,4.23E-02,3.52E-02,1.00E+67,1.00E-77,1.00E+58,1.00E-68
centímetro3,1.00E+24,1.18E-54,1.00E+48,1.00E-01,1.00E+00,2.03E-01,1.69E-01,6.76E-02,5.63E-02,1.00E-09,1.00E-02,1.00E-03,1.00E-60,1.00E+29,2.64E-04,2.20E-04,1.00E-33,1.00E-12,1.31E-06,1.00E-03,1.00E-24,1.00E-06,1.00E+12,1.57E-16,2.40E-16,1.00E+00,1.00E+03,1.00E+21,3.38E-02,3.52E-02,3.40E-56,3.53E-05,1.00E-51,1.00E+30,6.10E-02,2.11E-03,1.76E-03,8.80E-04,1.06E-03,1.00E-15,1.00E-42,2.99E-40,4.23E-03,3.52E-03,1.00E+66,1.00E-78,1.00E+57,1.00E-69
colher de chá americana,4.93E+24,5.82E-54,4.93E+48,4.93E-01,4.93E+00,1.00E+00,8.33E-01,3.33E-01,2.78E-01,4.93E-09,4.93E-02,4.93E-03,4.93E-60,4.93E+29,1.30E-03,1.08E-03,4.93E-33,4.93E-12,6.45E-06,4.93E-03,4.93E-24,4.93E-06,4.93E+12,7.76E-16,1.18E-15,4.93E+00,4.93E+03,4.93E+21,1.67E-01,1.73E-01,1.68E-55,1.74E-04,4.93E-51,4.93E+30,3.01E-01,1.04E-02,8.67E-03,4.34E-03,5.21E-03,4.93E-15,4.93E-42,1.47E-39,2.08E-02,1.73E-02,4.93E+66,4.93E-78,4.93E+57,4.93E-69
colher de chá imperial,5.92E+24,6.99E-54,5.92E+48,5.92E-01,5.92E+00,1.20E+00,1.00E+00,4.00E-01,3.33E-01,5.92E-09,5.92E-02,5.92E-03,5.92E-60,5.92E+29,1.56E-03,1.30E-03,5.92E-33,5.92E-12,7.74E-06,5.92E-03,5.92E-24,5.92E-06,5.92E+12,9.32E-16,1.42E-15,5.92E+00,5.92E+03,5.92E+21,2.00E-01,2.08E-01,2.01E-55,2.09E-04,5.92E-51,5.92E+30,3.61E-01,1.25E-02,1.04E-02,5.21E-03,6.25E-03,5.92E-15,5.92E-42,1.77E-39,2.50E-02,2.08E-02,5.92E+66,5.92E-78,5.92E+57,5.92E-69
colher de sopa americana,1.48E+25,1.75E-53,1.48E+49,1.48E+00,1.48E+01,3.00E+00,2.50E+00,1.00E+00,8.33E-01,1.48E-08,1.48E-01,1.48E-02,1.48E-59,1.48E+30,3.91E-03,3.25E-03,1.48E-32,1.48E-11,1.93E-05,1.48E-02,1.48E-23,1.48E-05,1.48E+13,2.33E-15,3.55E-15,1.48E+01,1.48E+04,1.48E+22,5.00E-01,5.20E-01,5.03E-55,5.22E-04,1.48E-50,1.48E+31,9.02E-01,3.13E-02,2.60E-02,1.30E-02,1.56E-02,1.48E-14,1.48E-41,4.42E-39,6.25E-02,5.20E-02,1.48E+67,1.48E-77,1.48E+58,1.48E-68
colher de sopa imperial,1.78E+25,2.10E-53,1.78E+49,1.78E+00,1.78E+01,3.60E+00,3.00E+00,1.20E+00,1.00E+00,1.78E-08,1.78E-01,1.78E-02,1.78E-59,1.78E+30,4.69E-03,3.91E-03,1.78E-32,1.78E-11,2.32E-05,1.78E-02,1.78E-23,1.78E-05,1.78E+13,2.80E-15,4.26E-15,1.78E+01,1.78E+04,1.78E+22,6.00E-01,6.25E-01,6.04E-55,6.27E-04,1.78E-50,1.78E+31,1.08E+00,3.75E-02,3.13E-02,1.56E-02,1.88E-02,1.78E-14,1.78E-41,5.30E-39,7.51E-02,6.25E-02,1.78E+67,1.78E-77,1.78E+58,1.78E-68
decâmetro3,1.00E+33,1.18E-45,1.00E+57,1.00E+08,1.00E+09,2.03E+08,1.69E+08,6.76E+07,5.63E+07,1.00E+00,1.00E+07,1.00E+06,1.00E-51,1.00E+38,2.64E+05,2.20E+05,1.00E-24,1.00E-03,1.31E+03,1.00E+06,1.00E-15,1.00E+03,1.00E+21,1.57E-07,2.40E-07,1.00E+09,1.00E+12,1.00E+30,3.38E+07,3.52E+07,3.40E-47,3.53E+04,1.00E-42,1.00E+39,6.10E+07,2.11E+06,1.76E+06,8.80E+05,1.06E+06,1.00E-06,1.00E-33,2.99E-31,4.23E+06,3.52E+06,1.00E+75,1.00E-69,1.00E+66,1.00E-60
